iter	MultiClass
0	0.9407827147
1	0.8341829742
2	0.7456989091
3	0.6438816284
4	0.5668875546
5	0.5009185177
6	0.4489360995
7	0.4057146933
8	0.3701316792
9	0.3402004887
10	0.3147889428
11	0.2928175717
12	0.2740948636
13	0.2573102693
14	0.2433030249
15	0.2312056295
16	0.2177063886
17	0.2079231632
18	0.1967721408
19	0.18935105
20	0.1816566527
21	0.1739469701
22	0.1688587895
23	0.164836563
24	0.1586426818
25	0.1553311877
26	0.1511376337
27	0.1485471299
28	0.1456138527
29	0.14146285
30	0.1389843599
31	0.1374682218
32	0.1339752746
33	0.1324190797
34	0.1309972781
35	0.1290180624
36	0.1276952606
37	0.1264284803
38	0.1245398212
39	0.1229623509
40	0.1219703382
41	0.1202990797
42	0.1187800237
43	0.1184351677
44	0.117845485
45	0.1168784014
46	0.116323994
47	0.1157881134
48	0.1153441047
49	0.1139937297
50	0.1130302896
51	0.11228662
52	0.1116366617
53	0.1112810464
54	0.1108548298
55	0.1104296215
56	0.1102758078
57	0.1100494092
58	0.109435535
59	0.1090824878
60	0.1084606237
61	0.1081874213
62	0.1079334595
63	0.107800181
64	0.1075967902
65	0.1070097421
66	0.1066467527
67	0.1065604801
68	0.1064809307
69	0.1063006413
70	0.1058494718
71	0.1055462445
72	0.1051566264
73	0.104907529
74	0.1046513024
75	0.1045427616
76	0.1042760885
77	0.1040844601
78	0.1039321801
79	0.1037211751
80	0.1034055574
81	0.1033327633
82	0.1031367475
83	0.1030296321
84	0.1028942393
85	0.1027324045
86	0.1026592105
87	0.1024076546
88	0.1018571528
89	0.1014521167
90	0.1012812103
91	0.1011268954
92	0.1009778707
93	0.1008345941
94	0.1006134495
95	0.1004937641
96	0.1003751911
97	0.1003505933
98	0.1001480401
99	0.1000225334
