iter	Passed	Remaining
0	344	34110
1	683	33476
2	992	32094
3	1331	31951
4	1653	31414
5	2020	31659
6	2373	31531
7	2683	30860
8	2990	30237
9	3300	29704
10	3617	29270
11	3957	29024
12	4336	29018
13	4682	28765
14	5018	28436
15	5375	28223
16	5755	28100
17	6072	27665
18	6432	27422
19	6766	27066
20	7213	27136
21	7547	26759
22	7883	26392
23	8202	25974
24	8536	25609
25	8855	25203
26	9174	24804
27	9483	24386
28	9818	24037
29	10144	23669
30	10459	23280
31	10771	22889
32	11087	22510
33	11389	22108
34	11700	21730
35	12008	21348
36	12321	20980
37	12692	20709
38	13025	20373
39	13380	20070
40	13716	19738
41	14050	19402
42	14388	19072
43	14707	18718
44	15008	18344
45	15322	17987
46	15634	17630
47	15944	17273
48	16252	16915
49	16588	16588
50	16919	16256
51	17249	15923
52	17579	15589
53	17909	15256
54	18243	14926
55	18573	14593
56	18934	14283
57	19300	13976
58	19643	13650
59	19963	13308
60	20276	12963
61	20585	12616
62	20889	12268
63	21192	11920
64	21493	11573
65	21855	11258
66	22199	10934
67	22506	10591
68	22812	10248
69	23110	9904
70	23423	9567
71	23728	9227
72	24048	8894
73	24349	8555
74	24658	8219
75	24969	7885
76	25289	7553
77	25606	7222
78	25916	6889
79	26218	6554
80	26520	6220
81	26819	5887
82	27164	5563
83	27490	5236
84	27796	4905
85	28109	4576
86	28426	4247
87	28722	3916
88	29039	3589
89	29346	3260
90	29648	2932
91	29959	2605
92	30261	2277
93	30565	1951
94	30873	1624
95	31186	1299
96	31494	974
97	31796	648
98	32113	324
99	32461	0
