iter	Passed	Remaining
0	2847	566597
1	5273	522065
2	8050	528656
3	10012	490613
4	11595	452228
5	13779	445537
6	16724	461112
7	18231	437554
8	21378	453696
9	23329	443266
10	24434	419834
11	26151	409701
12	28915	415943
13	30115	400104
14	31318	386261
15	32686	375891
16	35913	386600
17	37386	378023
18	40230	383246
19	41856	376712
20	43348	369496
21	46142	373337
22	47757	367528
23	50647	371412
24	53547	374833
25	54645	365705
26	56669	363102
27	58413	358822
28	60420	356272
29	62985	356917
30	65426	356677
31	67084	352192
32	69012	349246
33	71383	348519
34	72720	342824
35	75590	344358
36	78427	345503
37	80942	345070
38	83150	343263
39	86049	344197
40	87784	340431
41	89397	336306
42	91016	332314
43	91906	325849
44	93645	322555
45	94882	317651
46	96220	313227
47	97809	309730
48	99483	306573
49	101236	303710
50	102233	298682
51	103707	295166
52	105344	292182
53	106451	287812
54	108125	285058
55	109723	282144
56	111471	279657
57	112679	275869
58	114397	273390
59	115419	269313
60	117144	266936
61	119138	265178
62	120929	262973
63	122576	260475
64	123803	257131
65	125640	255087
66	127292	252685
67	128984	250381
68	130779	248291
69	132647	246346
70	134361	244121
71	135349	240621
72	137053	238435
73	138820	236370
74	140686	234477
75	142350	232256
76	143994	230016
77	145690	227875
78	146916	225024
79	147909	221864
80	149419	219518
81	150322	216317
82	152122	214437
83	153867	212483
84	155630	210559
85	157162	208331
86	158924	206419
87	159643	203182
88	161417	201317
89	163225	199497
90	164007	196448
91	165890	194741
92	167743	192995
93	169466	191100
94	171177	189196
95	172928	187339
96	174687	185492
97	176403	183603
98	177455	181040
99	179142	179142
100	181012	177427
101	182784	175616
102	184560	173809
103	186306	171975
104	188014	170108
105	189714	168237
106	191390	166348
107	193144	164530
108	194822	162650
109	195652	160079
110	197428	158298
111	199223	156533
112	201021	154768
113	202850	153027
114	204681	151285
115	206440	149491
116	208154	147664
117	209804	145796
118	211533	143985
119	213325	142217
120	213753	139557
121	215415	137724
122	217061	135883
123	218791	134098
124	220536	132321
125	222381	130605
126	224024	128770
127	225700	126956
128	227384	125149
129	229117	123371
130	230857	121596
131	232656	119853
132	234351	118056
133	236050	116263
134	237856	114523
135	239783	112839
136	241504	111056
137	243231	109277
138	245037	107534
139	246785	105765
140	248534	103996
141	250250	102215
142	251986	100442
143	253801	98700
144	255483	96907
145	257093	95089
146	258887	93340
147	259189	91066
148	260786	89262
149	262388	87462
150	264087	85697
151	265925	83976
152	267550	82188
153	268446	80185
154	270207	78447
155	272120	76751
156	274254	75114
157	276029	73374
158	277910	71662
159	279766	69941
160	281547	68200
161	281872	66118
162	283449	64341
163	285251	62616
164	286931	60864
165	288633	59117
166	290193	57343
167	290946	55418
168	292557	53664
169	294375	51948
170	296097	50215
171	298039	48518
172	298220	46543
173	298411	44590
174	300103	42871
175	301884	41166
176	303874	39486
177	305774	37792
178	307484	36073
179	309196	34355
180	310883	32634
181	312652	30921
182	314527	29218
183	316314	27505
184	316621	25672
185	318242	23953
186	319977	22244
187	321623	20529
188	323366	18820
189	325186	17115
190	327068	15411
191	328779	13699
192	330355	11981
193	332252	10275
194	333992	8563
195	335793	6852
196	336905	5130
197	338526	3419
198	340091	1709
199	342025	0
8	542004	2723
199	545102	0
